matricula,setor,nivel,idade,renda_mensal,horas_mes,produtividade,satisfacao,certificacao,data_admissao
VC4320,Pessoal,senior,39,N/A,199.0,98.0,NA,CRC,2018-12-01
VC4615,Pessoal,pleno,27,-,155.2,82.02,7.2,CRC,2015-02-23
VC4614,Fiscal,junior,35,2613.06,175.3,100.72,4.8,CNAI,2017-02-10
VC4429,Pessoal,junior,30,3976.33,134.4,97.36,8.0,-,2024-03-12
VC4723,Contabil,junior,28,1934.78,194.1,109.33,6.9,-,2017-11-12
VC4624,Contabil,senior,26,7999.47,189.6,92.26,7.7,-,2024-06-27
VC4225,Auditoria,junior,36,2831.58,154.2,96.23,8.6,-,2020-03-23
VC4556,Auditoria,pleno,35,1950.5,186.9,63.83,3.2,CRC,2017-10-27
VC4858,Auditoria,junior,39,1999.25,141.5,85.61,7.2,CNAI,2016-09-12
VC4463,Pessoal,junior,40,N/A,153.4,99.75,7.8,-,2019-01-12
VC5066,Societario,junior,49,7758.77,189.1,94.72,8.2,CRC,2019-05-13
VC4368,Societario,junior,38,4744.36,133.2,45.77,6.4,CRC,2019-04-24
VC5022,Fiscal,senior,39,4410.48,176.7,96.88,7.0,CRC,2022-01-07
VC4799,Contabil,junior,28,3266.27,149.9,73.57,7.8,-,2023-01-25
VC5033,Fiscal,senior,27,1321.43,181.6,121.0,9.4,-,2021-05-02
VC4886,Auditoria,senior,49,5257.19,171.4,96.82,6.4,CNAI,2023-05-17
VC4408,Contabil,senior,46,5484.6,150.7,67.76,,CNAI,2024-04-02
VC4812,Pessoal,junior,32,4589.93,171.7,128.45,4.5,-,2024-09-05
VC4399,Societario,pleno,52,1628.88,148.9,115.04,9.8,CNAI,2015-07-06
VC4932,Fiscal,senior,39,N/A,133.7,63.6,7.5,CRC,2024-06-04
VC4825,Fiscal,junior,38,6980.95,162.4,111.07,9.3,-,2018-04-12
VC4867,Pessoal,senior,40,3642.78,165.8,87.39,5.3,-,2015-09-07
VC4394,Societario,pleno,43,5630.33,170.1,108.92,9.0,CRC,2021-02-26
VC4737,Auditoria,senior,32,1412.78,200.2,113.91,7.1,CNAI,2016-12-27
VC4917,Pessoal,senior,41,2279.83,193.8,96.08,6.7,-,2022-02-24
VC4305,Societario,junior,32,9675.1,148.3,74.93,7.5,CRC,2019-04-24
VC5039,Auditoria,pleno,19,12498.3,,100.66,n/a,-,2021-11-01
VC4949,Societario,junior,52,4040.89,151.1,81.38,9.0,-,2019-08-05
VC4558,Societario,pleno,40,2840.43,207.4,121.16,NA,CNAI,2022-05-23
VC4853,Societario,pleno,40,3628.67,,101.54,6.6,-,2023-07-08
VC4964,Pessoal,pleno,36,3211.7,201.0,120.1,-,CNAI,2024-12-15
VC5089,Societario,pleno,39,2444.75,169.3,93.3,null,CRC,2018-05-22
VC5052,Contabil,senior,27,N/A,152.9,87.86,n/a,-,2024-06-09
VC4568,Contabil,senior,46,2569.28,,102.25,6.9,-,2020-10-19
VC4573,Auditoria,junior,32,7795.44,150.7,102.52,4.9,-,2018-05-25
VC4804,Fiscal,junior,22,N/A,158.5,84.33,8.1,-,2015-11-11
VC4430,Pessoal,pleno,40,2453.29,188.7,143.06,6.3,-,2018-03-20
VC4239,Contabil,junior,37,2878.7,137.9,76.1,6.0,-,2020-12-01
VC4722,Pessoal,junior,37,2222.69,147.7,67.62,8.7,-,2022-04-23
VC4586,Contabil,junior,48,6523.02,,139.09,6.3,CNAI,2015-08-23
VC4411,Fiscal,pleno,46,1879.6,166.4,70.73,8.8,-,2016-07-20
VC4803,Fiscal,junior,41,9738.87,176.5,85.0,6.8,-,2020-12-05
VC4317,Societario,junior,30,2442.23,166.1,97.51,7.4,CNAI,2015-08-22
VC4801,Societario,junior,44,8995.83,184.3,109.6,6.5,-,2019-09-21
VC5027,Societario,pleno,47,2393.17,191.7,112.41,6.9,-,2015-08-06
VC5028,Societario,pleno,62,3826.36,141.6,106.13,7.8,CNAI,2022-12-16
VC4785,Auditoria,junior,26,4252.6,165.5,74.49,8.2,CNAI,2017-05-13
VC4207,Fiscal,pleno,51,8529.33,199.0,114.67,5.9,CNAI,2020-02-18
VC4786,Pessoal,junior,31,3446.08,158.3,80.31,7.5,-,2020-10-19
VC4356,Fiscal,senior,25,6326.03,174.3,83.46,2.7,CNAI,2021-01-07
VC4229,Fiscal,junior,39,1697.8,180.5,111.34,8.8,CRC,2016-01-19
VC4266,Fiscal,junior,47,5459.49,162.6,74.81,9.5,-,2017-11-27
VC4496,Societario,senior,40,7819.47,210.1,105.85,8.1,CRC,2015-05-18
VC4764,Societario,pleno,40,n/a,181.5,100.29,-,CNAI,2024-08-25
VC5001,Contabil,junior,37,4662.92,182.1,102.94,7.9,-,2023-12-01
VC4390,Auditoria,pleno,25,3916.22,139.8,71.78,N/A,-,2018-01-12
VC4667,Auditoria,junior,31,,194.1,125.78,9.2,CNAI,2021-03-02
VC4814,Societario,pleno,45,7359.88,162.3,92.71,5.7,-,2023-12-15
VC4789,Pessoal,pleno,39,5788.38,174.5,122.63,8.5,CNAI,2017-11-03
VC5007,Auditoria,junior,42,6424.93,142.4,43.61,8.9,-,2024-04-04
VC4418,Fiscal,senior,30,4428.65,173.2,99.32,7.4,-,2023-02-02
VC4401,Societario,pleno,46,NA,175.5,94.99,9.3,CNAI,2015-01-18
VC4652,Pessoal,junior,38,4024.85,182.2,96.15,10.0,-,2023-10-13
VC4545,Fiscal,pleno,25,4107.58,152.6,86.24,5.8,CRC,2016-04-28
VC5003,Pessoal,junior,39,7194.6,160.9,108.51,3.9,-,2016-10-04
VC4313,Societario,junior,37,1346.6,177.9,97.58,NA,-,2016-09-15
VC4337,Contabil,pleno,35,2131.64,152.9,77.48,7.8,-,2018-02-09
VC4488,Auditoria,senior,33,2693.9,155.5,52.13,6.0,-,2022-01-05
VC4261,Auditoria,senior,34,9276.52,156.7,88.71,null,-,2018-12-17
