id,renda_mensal,satisfacao,certificacao,data_admissao
1,4500.0,8.5,Sim,2019-03-15
2,N/A,7.0,Não,2020-06-01
3,3200.0,,Sim,2018-11-22
4,5100.0,9.2,Sim,2021-01-10
5,N/A,6.5,Não,2019-07-30
6,2800.0,5.0,Não,2017-04-12
7,6200.0,8.0,Sim,2022-02-28
8,3900.0,N/A,Sim,2020-09-15
9,,7.8,Não,2021-05-03
10,4100.0,8.1,Sim,2018-12-20
11,5500.0,9.0,Sim,2023-01-07
12,3300.0,N/A,Não,2019-10-14
13,N/A,6.0,Não,2017-08-25
14,4700.0,7.5,Sim,2022-11-11
15,2600.0,,Não,2016-03-30
16,6800.0,9.5,Sim,2023-06-19
17,3500.0,8.3,Sim,2020-02-07
18,4900.0,7.2,Não,2021-08-22
19,N/A,6.8,Não,2018-05-16
20,5200.0,8.7,Sim,2022-04-03
